Year,Month,Cum_GWS_km3
2002,1,0.01
2002,2,-0.40
2002,3,-0.21
2002,4,-0.18
2002,5,0.04
2002,6,-0.45
2002,7,-1.35
2002,8,-2.92
2002,9,-4.62
2002,10,-5.89
2002,11,-5.52
2002,12,-1.58
2003,1,-5.09
2003,2,-5.08
2003,3,-5.25
2003,4,-3.37
2003,5,-4.45
2003,6,-3.88
2003,7,-4.26
2003,8,-5.38
2003,9,-7.05
2003,10,-8.35
2003,11,-8.19
2003,12,-5.64
2004,1,-8.31
2004,2,-6.08
2004,3,-9.62
2004,4,-8.95
2004,5,-8.68
2004,6,-9.24
2004,7,-10.17
2004,8,-11.68
2004,9,-13.27
2004,10,-12.09
2004,11,-12.73
2004,12,-10.09
2005,1,-11.68
2005,2,-11.37
2005,3,-11.50
2005,4,-11.89
2005,5,-10.09
2005,6,-9.24
2005,7,-9.24
2005,8,-10.19
2005,9,-11.52
2005,10,-12.48
2005,11,-12.78
2005,12,-7.63
2006,1,-11.34
2006,2,-10.86
2006,3,-9.36
2006,4,-9.61
2006,5,-8.35
2006,6,-7.59
2006,7,-7.82
2006,8,-8.85
2006,9,-10.33
2006,10,-11.38
2006,11,-11.31
2006,12,-10.74
2007,1,-12.21
2007,2,-11.29
2007,3,-13.27
2007,4,-12.45
2007,5,-13.09
2007,6,-13.76
2007,7,-14.78
2007,8,-16.30
2007,9,-17.57
2007,10,-18.14
2007,11,-18.80
2007,12,-18.06
2008,1,-15.72
2008,2,-17.47
2008,3,-18.60
2008,4,-18.05
2008,5,-18.02
2008,6,-18.84
2008,7,-19.99
2008,8,-21.56
2008,9,-23.27
2008,10,-24.31
2008,11,-24.61
2008,12,-23.97
2009,1,-24.49
2009,2,-23.04
2009,3,-25.58
2009,4,-24.92
2009,5,-24.70
2009,6,-24.95
2009,7,-25.86
2009,8,-27.38
2009,9,-29.03
2009,10,-28.86
2009,11,-29.53
2009,12,-28.73
2010,1,-26.70
2010,2,-27.78
2010,3,-29.32
2010,4,-27.26
2010,5,-26.50
2010,6,-26.11
2010,7,-26.11
2010,8,-27.09
2010,9,-28.60
2010,10,-28.59
2010,11,-28.24
2010,12,-24.40
2011,1,-27.49
2011,2,-25.99
2011,3,-22.66
2011,4,-24.55
2011,5,-22.12
2011,6,-20.41
2011,7,-20.40
2011,8,-21.01
2011,9,-22.47
2011,10,-22.93
2011,11,-22.60
2011,12,-23.51
2012,1,-22.40
2012,2,-22.80
2012,3,-20.86
2012,4,-21.15
2012,5,-21.41
2012,6,-21.57
2012,7,-22.39
2012,8,-23.83
2012,9,-25.60
2012,10,-26.47
2012,11,-25.15
2012,12,-24.24
2013,1,-26.34
2013,2,-26.81
2013,3,-26.76
2013,4,-26.92
2013,5,-26.92
2013,6,-27.65
2013,7,-28.95
2013,8,-30.59
2013,9,-32.00
2013,10,-33.20
2013,11,-33.44
2013,12,-34.56
2014,1,-35.16
2014,2,-34.49
2014,3,-35.11
2014,4,-35.27
2014,5,-35.49
2014,6,-36.28
2014,7,-37.54
2014,8,-38.99
2014,9,-40.20
2014,10,-41.48
2014,11,-41.18
2014,12,-39.32
2015,1,-41.40
2015,2,-41.27
2015,3,-42.29
2015,4,-41.64
2015,5,-41.93
2015,6,-43.05
2015,7,-44.21
2015,8,-45.72
2015,9,-47.27
2015,10,-48.20
2015,11,-47.68
2015,12,-46.34
2016,1,-43.95
2016,2,-46.45
2016,3,-44.35
2016,4,-43.59
2016,5,-42.79
2016,6,-43.04
2016,7,-44.32
2016,8,-46.19
2016,9,-48.17
2016,10,-47.19
2016,11,-47.46
2016,12,-45.88
2017,1,-41.38
2017,2,-40.51
2017,3,-40.68
2017,4,-39.34
2017,5,-37.20
2017,6,-34.64
2017,7,-34.39
2017,8,-35.41
2017,9,-36.94
2017,10,-37.92
2017,11,-37.30
2017,12,-38.42
2018,1,-37.17
2018,2,-38.19
2018,3,-35.96
2018,4,-35.97
2018,5,-35.30
2018,6,-35.59
2018,7,-36.43
2018,8,-38.12
2018,9,-40.09
2018,10,-41.24
2018,11,-38.93
2018,12,-39.82
2019,1,-38.80
2019,2,-34.53
2019,3,-35.77
2019,4,-36.04
2019,5,-31.64
2019,6,-30.90
2019,7,-30.25
2019,8,-31.24
2019,9,-32.76
