Year,Month,5-month_moving_average_cumulative_GWS_km3
2002,12,-7.391088401
2003,1,-13.98696425
2003,12,-0.761358386
2004,1,-0.940858091
2004,12,-2.87876075
2005,1,-9.533629244
2005,12,-8.096572656
2006,1,-8.602828785
2006,12,9.434022058
2007,1,-0.119319556
2007,12,-10.11211345
2008,1,-15.05350433
2008,12,-22.50983382
2009,1,-26.86223917
2009,12,-19.61981533
2010,1,-26.29135975
2010,12,-24.93266772
2011,1,-28.78441756
2011,12,-23.91973789
2012,1,-26.70941462
2012,12,-31.58607505
2013,1,-34.62110309
2013,12,-36.74137266
2014,1,-32.18694406
2014,12,-37.53087364
2015,1,-38.60194202
2015,12,-50.24602251
2016,1,-49.1664298
2016,12,-51.34821361
2017,1,-46.35128739
2017,12,-44.09513611
2018,1,-43.22642282
2018,12,-40.769707
2019,1,-39.38215877
