"","yrs.cond","rec.prob.0709","rec.prob.1215"
"1","0",0,0
"2","6",0,0
"3","12",0,0
"4","18",6.55,0
"5","24",19.255,0
"6","30",27.12,0
"7","36",44.635,6.57
"8","42",47.985,10.21
"9","48",61.17,17.945
"10","54",63.6,23.795
"11","60",72.48,32.81
"12","66",74.865,37.815
"13","72",80.355,46.66
"14","78",82.37,49.705
"15","84",86.37,57.975
"16","90",87.665,60.54
"17","96",90.165,67.5
"18","102",91.13,69.585
"19","108",93.1,75.13
"20","114",93.62,76.91
"21","120",95.13,81.1
"22","126",95.495,82.465
"23","132",96.545,85.465
"24","138",96.775,86.62
"25","144",97.475,89.04
"26","150",97.75,89.935
"27","156",98.225,91.75
"28","162",98.395,92.355
"29","168",98.715,93.73
"30","174",98.795,94.24
"31","180",99.075,95.305
"32","186",99.155,95.675
"33","192",99.345,96.48
"34","198",99.385,96.85
"35","204",99.515,97.445
"36","210",99.555,97.645
"37","216",99.65,98.105
"38","222",99.67,98.29
"39","228",99.71,98.615
"40","234",99.735,98.71
"41","240",99.785,98.94
