"","Date","Storage_km3"
"1","10/2000",15.3648929592
"2","11/2000",15.41901436116
"3","12/2000",15.42265929456
"4","01/2001",15.48641170836
"5","02/2001",16.23577177752
"6","03/2001",17.52204102108
"7","04/2001",18.17465185296
"8","05/2001",18.2650202982
"9","06/2001",16.18785724692
"10","07/2001",14.16042564228
"11","08/2001",12.73593139644
"12","09/2001",12.19991526156
"13","10/2001",11.56245773148
"14","11/2001",11.89455001884
"15","12/2001",13.56320793024
"16","01/2002",15.49969505448
"17","02/2002",16.43348875368
"18","03/2002",17.55345158928
"19","04/2002",18.3374194068
"20","05/2002",18.33293324004
"21","06/2002",16.74890192448
"22","07/2002",14.25550844808
"23","08/2002",12.74490249648
"24","09/2002",12.04179669384
"25","10/2002",11.45751448656
"26","11/2002",11.8089181368
"27","12/2002",13.823517849
"28","01/2003",15.77170453104
"29","02/2003",16.50283746624
"30","03/2003",17.83737648264
"31","04/2003",19.20487161768
"32","05/2003",20.71959862596
"33","06/2003",20.41475267832
"34","07/2003",17.62243765872
"35","08/2003",15.66881379684
"36","09/2003",14.94409989156
"37","10/2003",14.28924042564
"38","11/2003",14.1452772744
"39","12/2003",15.28769684688
"40","01/2004",16.37438409252
"41","02/2004",18.02403654408
"42","03/2004",19.28543142996
"43","04/2004",19.26269469312
"44","05/2004",18.7189101012
"45","06/2004",16.74920412708
"46","07/2004",14.31328218432
"47","08/2004",12.78882425232
"48","09/2004",12.2744273214
"49","10/2004",12.18954292824
"50","11/2004",12.53755204152
"51","12/2004",13.42405165056
"52","01/2005",15.92936917812
"53","02/2005",17.1398275074
"54","03/2005",19.06415745276
"55","04/2005",19.93522992744
"56","05/2005",22.7371500558
"57","06/2005",23.26256689704
"58","07/2005",21.6416964678
"59","08/2005",19.50972743316
"60","09/2005",18.46876405764
"61","10/2005",17.93173523568
"62","11/2005",17.80388133324
"63","12/2005",20.1864799356
"64","01/2006",19.78040228436
"65","02/2006",20.37422422596
"66","03/2006",21.18736384548
"67","04/2006",22.21333920552
"68","05/2006",23.60290129776
"69","06/2006",23.66213794128
"70","07/2006",21.83942084484
"71","08/2006",19.69961797872
"72","09/2006",18.46821515904
"73","10/2006",17.92015285848
"74","11/2006",17.85400255956
"75","12/2006",18.3547929726
"76","01/2007",18.30261430164
"77","02/2007",19.12338916236
"78","03/2007",19.59250504248
"79","04/2007",19.54273165752
"80","05/2007",18.7642774956
"81","06/2007",16.5648284706
"82","07/2007",14.3291891424
"83","08/2007",12.82263763956
"84","09/2007",12.14130029196
"85","10/2007",11.85105011316
"86","11/2007",11.636126091
"87","12/2007",11.88233609988
"88","01/2008",13.06673963112
"89","02/2008",14.31577628088
"90","03/2008",14.84372669004
"91","04/2008",14.83878166872
"92","05/2008",15.28296891804
"93","06/2008",13.83875872788
"94","07/2008",11.9165762712
"95","08/2008",10.58706738624
"96","09/2008",9.873514008
"97","10/2008",9.45140975112
"98","11/2008",9.62923439532
"99","12/2008",9.72891438108
"100","01/2009",10.42997260692
"101","02/2009",12.01219934124
"102","03/2009",14.5827926304
"103","04/2009",15.35826670464
"104","05/2009",17.2046653836
"105","06/2009",15.98280846564
"106","07/2009",13.81801282776
"107","08/2009",12.33909004344
"108","09/2009",11.67601313376
"109","10/2009",11.43632576712
"110","11/2009",11.04549516216
"111","12/2009",11.40574163052
"112","01/2010",12.93418370292
"113","02/2010",14.29083531528
"114","03/2010",15.95589393204
"115","04/2010",17.5346336184
"116","05/2010",18.29015615364
"117","06/2010",19.81509637632
"118","07/2010",17.80318565052
"119","08/2010",15.60972147048
"120","09/2010",14.34973521876
"121","10/2010",14.2282349718
"122","11/2010",14.59959139452
"123","12/2010",17.03992426176
"124","01/2011",17.77805842944
"125","02/2011",18.62199681108
"126","03/2011",20.19606160824
"127","04/2011",20.61943634952
"128","05/2011",21.3600744816
"129","06/2011",23.3573684694
"130","07/2011",22.8693236052
"131","08/2011",20.74059985644
"132","09/2011",19.2783179508
"133","10/2011",18.49093586064
"134","11/2011",18.1434916812
"135","12/2011",17.84893542372
"136","01/2012",17.89032114468
"137","02/2012",17.52200031624
"138","03/2012",19.01788961796
"139","04/2012",20.95587912084
"140","05/2012",20.76857394936
"141","06/2012",18.79096876932
"142","07/2012",16.21576843236
"143","08/2012",14.38518420048
"144","09/2012",13.54528546584
"145","10/2012",12.8775497022
"146","11/2012",13.21197203328
"147","12/2012",15.94684018884
"148","01/2013",16.4599024944
"149","02/2013",16.71187902228
"150","03/2013",17.16381005904
"151","04/2013",17.37362994096
"152","05/2013",16.67691356472
"153","06/2013",15.12270039468
"154","07/2013",13.18362666288
"155","08/2013",11.9213621736
"156","09/2013",11.27915944596
"157","10/2013",10.59849311148
"158","11/2013",10.29557632656
"159","12/2013",10.09189177416
"160","01/2014",9.87560228964
"161","02/2014",10.56704677236
"162","03/2014",11.71762458156
"163","04/2014",12.52706992848
"164","05/2014",12.40377373464
"165","06/2014",11.18871452496
"166","07/2014",9.51406683468
"167","08/2014",8.5054243356
"168","09/2014",8.09292148704
"169","10/2014",7.58092860864
"170","11/2014",7.57215116496
"171","12/2014",9.37224993864
"172","01/2015",9.95770641888
"173","02/2015",11.36675379468
"174","03/2015",11.56991781852
"175","04/2015",11.3409666618
"176","05/2015",10.77265432008
"177","06/2015",9.7214012544
"178","07/2015",8.20597979688
"179","08/2015",7.31889181788
"180","09/2015",6.97825644804
"181","10/2015",6.64920098844
"182","11/2015",6.55341879948
"183","12/2015",7.24545165216
"184","01/2016",9.65076355524
"185","02/2016",11.15158431
"186","03/2016",14.91754430064
"187","04/2016",16.22612103
"188","05/2016",16.5632249466
"189","06/2016",15.68910577632
"190","07/2016",13.21866366228
"191","08/2016",11.57532539484
"192","09/2016",10.89131262912
"193","10/2016",11.00881146696
"194","11/2016",11.64304221336
"195","12/2016",13.79586446088
"196","01/2017",18.16234295604
"197","02/2017",20.81428301772
"198","03/2017",19.78658325264
"199","04/2017",20.03496912024
"200","05/2017",21.05345725668
"201","06/2017",22.0113087498
"202","07/2017",20.98536299328
"203","08/2017",18.85849316496
"204","09/2017",17.2832688966
"205","10/2017",15.89496988788
"206","11/2017",16.22492578788
"207","12/2017",16.14606694452
"208","01/2018",16.82200164972
"209","02/2018",16.46195870556
"210","03/2018",19.22641187892
"211","04/2018",20.89134098028
"212","05/2018",20.61269538132
"213","06/2018",19.1571840474
"214","07/2018",16.81237433832
"215","08/2018",15.20399042712
"216","09/2018",14.354561826
"217","10/2018",13.76980966284
"218","11/2018",13.4568597516
"219","12/2018",13.92362461884
"220","01/2019",15.85640143524
"221","02/2019",18.95826566172
"222","03/2019",20.07629070024
"223","04/2019",21.09832632516
"224","05/2019",21.806569572
"225","06/2019",22.97390050656
"226","07/2019",0
"227","08/2019",0
"228","09/2019",0
